# 0: Workload (cyc.)
# 1: Nb. ISR
# 2: Nb. POLL
# 3: Average
# 4: StdDev
# 5: 5th ptile
# 6: 95th ptile
# 7: Min
# 8: Max
176000 212 212 180200.480317 3248.667510 177457 184390 177448 185727
178000 207 207 182254.782219 3259.221508 179466 186652 179448 187745
180000 205 205 184302.879376 3268.834756 181737 188661 181448 189727
182000 208 208 186348.965423 3279.619870 183737 190661 183728 191937
184000 204 204 188383.345797 3278.126493 185737 192661 185728 193727
186000 205 205 190438.144289 3290.513408 187737 194661 187728 195736
188000 209 209 192486.792725 3295.151730 189737 196670 189728 197736
190000 204 204 194526.661128 3304.041723 191737 198670 191728 199736
192000 210 210 196581.532395 3311.266612 193737 200670 193728 201946
194000 204 204 198630.647019 3319.244763 195737 202670 195728 203736
196000 203 203 200673.948416 3323.174874 197737 204670 197728 205736
198000 204 204 202729.813429 3330.329990 199737 206670 199728 207736
200000 202 202 204762.893816 3327.734513 201737 208670 201728 209736
